pet_id,name,breed,age,owner_id,vaccination_status,vaccinations,medical_history,pet_records
100,Tommy,Golden Retriever,5,1,none,,1|2022-12-01|Annual checkup;2|2023-08-01|Ear infection treatment,1|2023-07-01|Grooming;2|2023-11-01|Special diet prescribed;3|2023-01-23|this day we've just started our journery on case 5.
101,Mittens,British Shorthair,3,1,completed,1|Rabies|2023-02-15|completed;2|Leukemia|2025-01-01|completed,1|2023-04-10|Dental cleaning,1|2023-05-05|Behavioral assessment
102,Rex,German Shepherd,4,1,completed,1|Parvo|2023-05-05|completed,1|2023-06-15|Leg surgery;2|2023-09-01|Vaccination booster,1|2023-10-10|Training session
103,Bella,Labrador Retriever,2,2,completed,1|Rabies|2024-01-10|completed;2|Distemper|2024-01-20|completed,1|2024-02-10|Minor allergy treaetment part II ahahah,1|2024-03-01|Routine grooming
104,Max,Beagle,3,2,completed,1|Rabies|2024-02-10|completed,1|2024-03-10|Skin infection treatment,1|2024-03-20|Post-treatment check-up
105,Luna,Poodle,2,3,pending,1|Rabies|2025-09-09|pending,1|2024-04-14|Vaccination scheduled finished,1|2024-04-25|After a month[comma] we're updating this record. Bye!
106,Buddy,Boxer,4,3,completed,1|No idea bro|2025-03-22|completed;2|2nd no idae borhter|2025-03-23|completed,,
107,Charlie,Bulldog,5,4,pending,2|Bu ham test uchun yozildi|2025-01-03|booster required,,1|2025-01-24|bu esa test qilish uchun yozilyapti;3|2023-01-24|bu esa uchunchi test uchun yozildi
108,Chloe,Persian Cat,3,-1,none,,,
109,Rocky,Doberman,6,-1,none,,,
110,Daisy,Shih Tzu,2,6,none,,,
112,Oscar,British Shorthair,4,8,pending,1|Biranras 231|2025-01-30|pending,2|2020-03-12|testin for at[comma] etaf das[comma]fa sdf,
113,Lola,Poodle,5,9,none,,,
114,Simba,Maine Coon,2,9,none,,,
115,Shadow,Black Labrador,3,10,none,,,
116,testing one salomat,salomat breed,4,11,none,,,1|2025-01-23|[comma] hozir[comma] vergullar[comma] muammo chiqarya[comma]
117,salomt two,breed two test,5,7,none,,1|2025-03-21|[comma] korechoe nima bo'lyapti[comma] deymi[comma] vergullarni tekshiromman[comma],
118,Bob,Pelinski,5,11,none,,,
119,Charlie,Kelinski,32,-1,none,,,
120,ism,ism breed,20,-1,none,,,
121,Murka,turkish angora,3,-1,none,,,
123,test ypas,briansa,3,-1,none,,,
124,Salomberk,ssfe,3,-1,none,,,
125,Qilichbek,ghfsa,4,-1,none,,,
126,Salimiddin,fsaase,10,4,pending,1|Rabies|2025-04-03|pending,,
127,Yana bitta,ho'p,2,-1,none,,,
128,Qilishcing,awerq,9,10,none,,,
129,Rex,German,2,-1,none,,1|2025-03-03|Ho'p bratni biz prosto tekshirdik[comma] xolos.,
130,Rexali,German bin,3,21,none,,,
131,Rexali,German binnarsa,4,14,none,,,
133,qilich bola,italin baew ba,32,-1,completed,1|Rabies|2025-04-03|completed;2|Binare|2025-03-30|completed,1|2025-04-02|Buni[comma] biz faqatgina tekshirish uchun yozidk,1|2025-01-03|bu tekst[comma] hozirgina o'zgardi!!!;4|2025-04-01|etot[comma] teks napison tol'ka v testovih nachiafnasdifjasefj;5|2024-12-04|ho'p[comma] nima yozishniyam bilmaydi odam
134,Ali bola,o'zgardi breed,12,-1,none,,,
135,Mango,kabuli,3,24,none,,,
136,yanvoasdifa,fasdijfoaie,3,23,none,,,
137,sfekwvna,fwerqgasdv,3,-1,none,,,
138,gengizkhan,mongol,45,27,none,,,
139,qweraav,qoldi ismm yana,4,27,none,,,
140,teshavoy,boltavoy,3,29,none,,,
141,space,plant,5,-1,completed,2|yan baweq|2025-04-08|completed,,
142,Qalam,qalam breed,4,27,none,,,2|2025-01-01|endi esa date o'zgarmadi[comma] afsdf
143,Ruchka,pen breed,4,30,none,,1|2025-04-08|we didn't change the date only[comma] the details,
144,Sticker,breed s,5,30,none,,1|2025-04-06|Hozirgina o'tirib tes qivommiz,
